 4 X 1  = 4 
 4 X 2  = 8 
 4 X 3  = 12 
 4 X 4  = 16 
 4 X 5  = 20 
 4 X 6  = 24 
 4 X 7  = 28 
 4 X 8  = 32 
 4 X 9  = 36 
 4 X 10  = 40 

 5 X 1  = 5 
 5 X 2  = 10 
 5 X 3  = 15 
 5 X 4  = 20 
 5 X 5  = 25 
 5 X 6  = 30 
 5 X 7  = 35 
 5 X 8  = 40 
 5 X 9  = 45 
 5 X 10  = 50 
 6 X 1  = 6 
 6 X 2  = 12 
 6 X 3  = 18 
 6 X 4  = 24 
 6 X 5  = 30 
 6 X 6  = 36 
 6 X 7  = 42 
 6 X 8  = 48 
 6 X 9  = 54 
 6 X 10  = 60 
 8 X 1  = 8 
 8 X 2  = 16 
 8 X 3  = 24 
 8 X 4  = 32 
 8 X 5  = 40 
 8 X 6  = 48 
 8 X 7  = 56 
 8 X 8  = 64 
 8 X 9  = 72 
 8 X 10  = 80 
